DEFINE
BS_ANTENNA|Support_Number|Cartoradio_Number|Lat|Lng|Height|Info_Addr|Info_Municipality|Ant_Number|Dest_Lat|Dest_Lng|Azimuth|AzimuthMin|AzimuthMax|MinFreq|MaxFreq
DELIMITER|Cartoradio_Number|Support_Lat|Support_Lng|Del_Lat|Del_Lng
CONTENT
BS_ANTENNA|30517|854069|48.26166666666666|-1.4077777777777778|20.9|R DES MONTS D'ARRÉES ZI DE CHEDEVILLE|SAINT AUBIN DU CORMIER|9651151|48.26215907054317|-1.4076909536889444|10.0|-55.0|60.0|3710.0|3800.0
BS_ANTENNA|30517|854069|48.26166666666666|-1.4077777777777778|20.9|R DES MONTS D'ARRÉES ZI DE CHEDEVILLE|SAINT AUBIN DU CORMIER|9651153|48.261495656595|-1.4073079314673849|110.0|60.0|175.0|3710.0|3800.0
BS_ANTENNA|30517|854069|48.26166666666666|-1.4077777777777778|20.9|R DES MONTS D'ARRÉES ZI DE CHEDEVILLE|SAINT AUBIN DU CORMIER|9651155|48.26141666666666|-1.40821079047967|240.0|175.0|305.0|3710.0|3800.0
DELIMITER|854069|48.26166666666666|-1.4077777777777778|48.43373959757198|-1.6535233910644753
DELIMITER|854069|48.26166666666666|-1.4077777777777778|48.41166666666666|-1.1479701566424463
DELIMITER|854069|48.26166666666666|-1.4077777777777778|47.96280825723914|-1.3816310549534803
BS_ANTENNA|93412|77178|48.09111111111111|-1.0955555555555556|34.7|N.157 - AIRE D'ERBRÉE|ERBREE|9562433|48.09098170158856|-1.0950725926424112|105.0|-2.5|177.5|3710.0|3800.0
BS_ANTENNA|93412|77178|48.09111111111111|-1.0955555555555556|34.3|N.157 - AIRE D'ERBRÉE|ERBREE|168818|48.09098170158856|-1.0950725926424112|105.0|-2.5|177.5|708.0|718.0
BS_ANTENNA|93412|77178|48.09111111111111|-1.0955555555555556|34.3|N.157 - AIRE D'ERBRÉE|ERBREE|168818|48.09098170158856|-1.0950725926424112|105.0|-2.5|177.5|763.0|773.0
