DEFINE
BS_ANTENNA|Support_Number|Cartoradio_Number|Lat|Lng|Height|Info_Addr|Info_Municipality|Ant_Number|Dest_Lat|Dest_Lng|Azimuth|AzimuthMin|AzimuthMax|MinFreq|MaxFreq
DELIMITER|Cartoradio_Number|Support_Lat|Support_Lng|Del_Lat|Del_Lng
CONTENT
BS_ANTENNA|2029816|1728647|48.12138888888889|-1.7113888888888888|-4.5|55 COURS KENNEDY|RENNES|5302808|48.121345311017514|-1.710890791539843|95.0|35.0|155.0|1730.0|1750.0
BS_ANTENNA|2029816|1728647|48.12138888888889|-1.7113888888888888|-4.5|55 COURS KENNEDY|RENNES|5302808|48.121345311017514|-1.710890791539843|95.0|35.0|155.0|1825.0|1845.0
BS_ANTENNA|2029816|1728647|48.12138888888889|-1.7113888888888888|-4.5|55 COURS KENNEDY|RENNES|5302808|48.121345311017514|-1.710890791539843|95.0|35.0|155.0|2500.0|2515.0
BS_ANTENNA|2029816|1728647|48.12138888888889|-1.7113888888888888|-4.5|55 COURS KENNEDY|RENNES|5302808|48.121345311017514|-1.710890791539843|95.0|35.0|155.0|2620.0|2635.0
BS_ANTENNA|2029816|1728647|48.12138888888889|-1.7113888888888888|-4.5|55 COURS KENNEDY|RENNES|5302808|48.121345311017514|-1.710890791539843|95.0|35.0|155.0|801.0|811.0
BS_ANTENNA|2029816|1728647|48.12138888888889|-1.7113888888888888|-4.5|55 COURS KENNEDY|RENNES|5302808|48.121345311017514|-1.710890791539843|95.0|35.0|155.0|842.0|852.0
BS_ANTENNA|2029816|1728647|48.12138888888889|-1.7113888888888888|-4.5|55 COURS KENNEDY|RENNES|5302810|48.121345311017514|-1.710890791539843|95.0|35.0|155.0|1730.0|1750.0
BS_ANTENNA|2029816|1728647|48.12138888888889|-1.7113888888888888|-4.5|55 COURS KENNEDY|RENNES|5302810|48.121345311017514|-1.710890791539843|95.0|35.0|155.0|1825.0|1845.0
BS_ANTENNA|2029816|1728647|48.12138888888889|-1.7113888888888888|-4.5|55 COURS KENNEDY|RENNES|5302810|48.121345311017514|-1.710890791539843|95.0|35.0|155.0|2500.0|2515.0
