DEFINE
BS_ANTENNA|Support_Number|Cartoradio_Number|Lat|Lng|Height|Info_Addr|Info_Municipality|Ant_Number|Dest_Lat|Dest_Lng|Azimuth|AzimuthMin|AzimuthMax|MinFreq|MaxFreq
DELIMITER|Cartoradio_Number|Support_Lat|Support_Lng|Del_Lat|Del_Lng
CONTENT
BS_ANTENNA|440050|1211976|48.66694444444445|-1.9027777777777777|29.3|D 74|SAINT COULOMB|3373102|48.66719444444445|-1.9032107904796698|300.0|235.0|360.0|723.0|733.0
BS_ANTENNA|440050|1211976|48.66694444444445|-1.9027777777777777|29.3|D 74|SAINT COULOMB|3373102|48.66719444444445|-1.9032107904796698|300.0|235.0|360.0|778.0|788.0
BS_ANTENNA|440050|1211976|48.66694444444445|-1.9027777777777777|31.8|D 74|SAINT COULOMB|9203094|48.66719444444445|-1.9032107904796698|300.0|235.0|360.0|3640.0|3710.0
DELIMITER|1211976|48.66694444444445|-1.9027777777777777|48.966944444444444|-1.9027777777777777
DELIMITER|1211976|48.66694444444445|-1.9027777777777777|48.54015896592224|-1.6308854416667826
DELIMITER|1211976|48.66694444444445|-1.9027777777777777|48.49487151353913|-2.148523391064475
BS_ANTENNA|444333|777304|48.12472222222223|-1.627222222222222|36.3|2 R DU CLOS COURTEL BUTTES DE COESMES|CESSON SEVIGNE|1919303|48.125222222222234|-1.627222222222222|0.0|-60.0|60.0|723.0|733.0
BS_ANTENNA|444333|777304|48.12472222222223|-1.627222222222222|36.3|2 R DU CLOS COURTEL BUTTES DE COESMES|CESSON SEVIGNE|1919303|48.125222222222234|-1.627222222222222|0.0|-60.0|60.0|778.0|788.0
BS_ANTENNA|444333|777304|48.12472222222223|-1.627222222222222|37.2|2 R DU CLOS COURTEL BUTTES DE COESMES|CESSON SEVIGNE|6743501|48.125222222222234|-1.627222222222222|0.0|-60.0|60.0|3640.0|3710.0
BS_ANTENNA|444333|777304|48.12472222222223|-1.627222222222222|36.3|2 R DU CLOS COURTEL BUTTES DE COESMES|CESSON SEVIGNE|1919305|48.12447222222223|-1.6267892095203298|120.0|60.0|180.0|723.0|733.0
BS_ANTENNA|444333|777304|48.12472222222223|-1.627222222222222|36.3|2 R DU CLOS COURTEL BUTTES DE COESMES|CESSON SEVIGNE|1919305|48.12447222222223|-1.6267892095203298|120.0|60.0|180.0|778.0|788.0
BS_ANTENNA|444333|777304|48.12472222222223|-1.627222222222222|37.2|2 R DU CLOS COURTEL BUTTES DE COESMES|CESSON SEVIGNE|6743503|48.12447222222223|-1.6267892095203298|120.0|60.0|180.0|3640.0|3710.0
BS_ANTENNA|444333|777304|48.12472222222223|-1.627222222222222|36.3|2 R DU CLOS COURTEL BUTTES DE COESMES|CESSON SEVIGNE|1919307|48.12447222222223|-1.627655234924114|240.0|180.0|300.0|723.0|733.0
BS_ANTENNA|444333|777304|48.12472222222223|-1.627222222222222|36.3|2 R DU CLOS COURTEL BUTTES DE COESMES|CESSON SEVIGNE|1919307|48.12447222222223|-1.627655234924114|240.0|180.0|300.0|778.0|788.0
BS_ANTENNA|444333|777304|48.12472222222223|-1.627222222222222|37.2|2 R DU CLOS COURTEL BUTTES DE COESMES|CESSON SEVIGNE|6743505|48.12447222222223|-1.627655234924114|240.0|180.0|300.0|3640.0|3710.0
DELIMITER|777304|48.12472222222223|-1.627222222222222|48.27472222222223|-1.8870298433575534
DELIMITER|777304|48.12472222222223|-1.627222222222222|48.27472222222223|-1.3674146010868904
DELIMITER|777304|48.12472222222223|-1.627222222222222|47.824722222222235|-1.627222222222222
BS_ANTENNA|445746|878154|48.13055555555555|-1.2175|24.5|nan|VITRE|2195206|48.131055555555555|-1.2175|0.0|-60.0|60.0|723.0|733.0
BS_ANTENNA|445746|878154|48.13055555555555|-1.2175|24.5|nan|VITRE|2195206|48.131055555555555|-1.2175|0.0|-60.0|60.0|778.0|788.0
BS_ANTENNA|445746|878154|48.13055555555555|-1.2175|24.5|nan|VITRE|2195208|48.13030555555555|-1.217066987298108|120.0|60.0|180.0|723.0|733.0
BS_ANTENNA|445746|878154|48.13055555555555|-1.2175|24.5|nan|VITRE|2195208|48.13030555555555|-1.217066987298108|120.0|60.0|180.0|778.0|788.0
BS_ANTENNA|445746|878154|48.13055555555555|-1.2175|24.5|nan|VITRE|2195210|48.13030555555555|-1.2179330127018921|240.0|180.0|300.0|723.0|733.0
BS_ANTENNA|445746|878154|48.13055555555555|-1.2175|24.5|nan|VITRE|2195210|48.13030555555555|-1.2179330127018921|240.0|180.0|300.0|778.0|788.0
DELIMITER|878154|48.13055555555555|-1.2175|48.28055555555555|-1.4773076211353315
