Numéro du support;Longitude;Latitude;Position;Insee;Lieu dit;Adresse;Code postal;Commune;Nature du support;Hauteur en m;Propriétaire
1412276;-1.6622222222222223;48.125;"48°7'30.000""N 1°39'44.000""W";35238;"";7 BOULEVARD EMMANUEL MOUNIER;35000;RENNES;Immeuble;54.0;Société HLM
1423528;-1.663888888888889;48.12361111111111;"48°7'25.000""N 1°39'50.000""W";35238;"";1 SQ DU DR DAYOT;35000;RENNES;Immeuble;33.3;Société HLM
1434300;-1.6630555555555555;48.095;"48°5'42.000""N 1°39'47.000""W";35238;"";78 BD EMILE COMBES;35000;RENNES;Immeuble;22.5;Société HLM
1434302;-1.6875;48.135555555555555;"48°8'8.000""N 1°41'15.000""W";35278;"";15 RUE DES PETITS CHAMPS;35760;SAINT GREGOIRE;Pylône tubulaire;27.5;ON TOWER FRANCE
1456268;-1.6305555555555555;48.07805555555556;"48°4'41.000""N 1°37'50.000""W";35055;LES CHAUSSÉES;RUE DU BOIS DE SOEUVRES;35135;CHANTEPIE;Pylône autostable;30.0;HIVORY
1471802;-1.5863888888888888;48.11277777777778;"48°6'46.000""N 1°35'11.000""W";35051;"";ZI DE LA RIGOURDIERE;35510;CESSON SEVIGNE;Bâtiment;14.6;Société Privée SA
1474198;-1.745277777777778;48.10805555555555;"48°6'29.000""N 1°44'43.000""W";35353;"";LA BALUE;35132;VEZIN LE COQUET;Pylône autostable;25.0;HIVORY
1488234;-1.7130555555555556;48.102777777777774;"48°6'10.000""N 1°42'47.000""W";35238;"";130 R EUGÈNE POTTIER;35200;RENNES;Bâtiment;8.9;Particulier
1491481;-1.7666666666666666;48.13805555555555;"48°8'17.000""N 1°46'0.000""W";35210;GIRAUDAIS;"";35740;PACE;Bâtiment;15.2;Société Privée SA
1501756;-1.6341666666666668;48.102222222222224;"48°6'8.000""N 1°38'3.000""W";35238;"";10 RUE DES VEYETTES;35000;RENNES;Bâtiment;11.0;Association
1505589;-1.6183333333333334;48.10333333333333;"48°6'12.000""N 1°37'6.000""W";35051;LES LANDES;"PARC D'ACTIVITÉS DES CHARMILLES";35510;CESSON SEVIGNE;Pylône autostable;51.0;SFR
1505645;-1.7297222222222222;48.10444444444445;"48°6'16.000""N 1°43'47.000""W";35238;"";R DE LA RETARDAIS;35000;RENNES;Pylône tubulaire;25.0;HIVORY
1515043;-1.485;48.110277777777775;"48°6'37.000""N 1°29'6.000""W";35039;"";5 RUE DES 4 VENTS;35530;BRECE;Mât;12.0;"Commune, communauté de commune"
1516748;-1.5302777777777776;48.08888888888889;"48°5'20.000""N 1°31'49.000""W";35207;LA MORIHANNAIS;0;35530;NOYAL SUR VILAINE;Pylône autostable;30.0;SNCF Réseau
1524395;-1.5908333333333333;48.10944444444444;"48°6'34.000""N 1°35'27.000""W";35051;LA CHEVALERIE;0;35510;CESSON SEVIGNE;Pylône autostable;30.0;SNCF Réseau
1524397;-1.5972222222222223;48.11138888888889;"48°6'41.000""N 1°35'50.000""W";35051;LE TERTRE;PARC DU BOIS DE LA JUSTICE;35510;CESSON SEVIGNE;Tunnel;7.5;SNCF Réseau
1528735;-1.6708333333333334;48.11888888888889;"48°7'8.000""N 1°40'15.000""W";35238;"";RUE JULES FERRY ARCHIVES DÉPARTEMENTALES;35000;RENNES;Bâtiment;31.0;"Commune, communauté de commune"
1532840;-1.6825;48.10611111111111;"48°6'22.000""N 1°40'57.000""W";35238;"";32 RUE PUITS MAUGER;35000;RENNES;Immeuble;33.0;"Copropriété, Syndic, SCI"
1532886;-1.6494444444444445;48.08777777777778;"48°5'16.000""N 1°38'58.000""W";35238;"";"1, SQUARE DES HAUTES OURMES TOUR NEOTOA";35000;RENNES;Immeuble;54.0;Société HLM
1535248;-1.7058333333333333;48.141666666666666;"48°8'30.000""N 1°42'21.000""W";35238;"";LA BOUSSARDIERE;35000;RENNES;Pylône autostable;43.0;ATC FRANCE
1541712;-1.7041666666666666;48.08361111111111;"48°5'1.000""N 1°42'15.000""W";35281;"";STDE SALVADOR ALLENDE;35136;SAINT JACQUES DE LA LANDE;Pylône tubulaire;33.3;ON TOWER FRANCE
1549073;-1.675;48.10611111111111;"48°6'22.000""N 1°40'30.000""W";35238;"";COURS DES ALLIES TOUR DE LA SÉCURITÉ SOCIALE;35000;RENNES;Immeuble;69.0;"Etat, Ministère"
1551975;-1.7619444444444445;48.147777777777776;"48°8'52.000""N 1°45'43.000""W";35210;"";RUE JEAN MARIE DAVID;35740;PACE;Pylône tubulaire;35.0;ON TOWER FRANCE
1562471;-1.5302777777777776;48.12;"48°7'12.000""N 1°31'49.000""W";35207;"";LE CHÊNE JOLI;35530;NOYAL SUR VILAINE;Pylône autostable;18.0;"Copropriété, Syndic, SCI"
1562473;-1.681111111111111;48.090833333333336;"48°5'27.000""N 1°40'52.000""W";35238;"";1 SQUARE SARAH BERNHARDT TOUR SARAH BERNHARDT;35000;RENNES;Immeuble;63.0;Société HLM
1562596;-1.6116666666666668;48.084722222222226;"48°5'5.000""N 1°36'42.000""W";35055;"";2 R DU PONT BOEUF CTRE DE GÉRIATERIE;35135;CHANTEPIE;Immeuble;21.0;Etablissement de soins
1593103;-1.6825;48.09583333333333;"48°5'45.000""N 1°40'57.000""W";35238;"";2 SQ DU CDT CHRISTIAN DUTERTRE;35000;RENNES;Immeuble;33.5;Société HLM
1622286;-1.6197222222222223;48.09722222222222;"48°5'50.000""N 1°37'11.000""W";35055;"";RUE DU BREILLOU;35135;CHANTEPIE;Pylône autostable;30.6;ON TOWER FRANCE
1623720;-1.6691666666666667;48.118611111111115;"48°7'7.000""N 1°40'9.000""W";35238;"";87 RUE JEAN GUÉHENNO;35000;RENNES;Immeuble;30.3;"Copropriété, Syndic, SCI"
1633876;-1.6927777777777777;48.11944444444445;"48°7'10.000""N 1°41'34.000""W";35238;"";2 RUE HENRY LE GUILLOUX;35000;RENNES;Bâtiment;14.0;Etablissement de soins
1636748;-1.6930555555555555;48.10527777777778;"48°6'19.000""N 1°41'35.000""W";35238;"";58 R DE REDON;35000;RENNES;Bâtiment;25.0;ORANGE Services Fixes
1650679;-1.5166666666666666;48.13805555555555;"48°8'17.000""N 1°31'0.000""W";35001;JOVAL;D92;35690;ACIGNE;Pylône autostable;37.0;HIVORY
1650989;-1.6491666666666667;48.11527777777778;"48°6'55.000""N 1°38'57.000""W";35238;"";RUE DE PRIMAUGUET;35000;RENNES;Immeuble;20.5;Société Privée SA
1665040;-1.6891666666666667;48.14277777777778;"48°8'34.000""N 1°41'21.000""W";35278;LES ONZE JOURNAUX;3 BD DE LA BOUTIÈRE POLE LOCOMOTEUR CLINIQUE PRIVÉE;35760;SAINT GREGOIRE;Immeuble;12.0;"Copropriété, Syndic, SCI"
1674362;-1.6808333333333334;48.110277777777775;"48°6'37.000""N 1°40'51.000""W";35238;"";RUE DE ROHAN ET QUAI TROUIN;35000;RENNES;Immeuble;30.0;Société Privée SA
1693041;-1.682777777777778;48.12;"48°7'12.000""N 1°40'58.000""W";35238;"";49 BOULEVARD DE CHÉZY;35000;RENNES;Immeuble;22.3;"Copropriété, Syndic, SCI"
1709499;-1.7797222222222222;48.14333333333333;"48°8'36.000""N 1°46'47.000""W";35210;KER BUGAN;"";35740;PACE;Pylône autostable;36.0;TOTEM
1715864;-1.6825;48.11361111111111;"48°6'49.000""N 1°40'57.000""W";35238;"";14 PLACES DES LICES;35000;RENNES;Immeuble;30.0;"Copropriété, Syndic, SCI"
1723514;-1.6430555555555557;48.11138888888889;"48°6'41.000""N 1°38'35.000""W";35238;"";CHEMIN DE BAUD;35000;RENNES;Bâtiment;17.0;Société Privée SA
1730530;-1.7197222222222222;48.11277777777778;"48°6'46.000""N 1°43'11.000""W";35238;"";LA BASSE DIVISION;35000;RENNES;Pylône autostable;31.3;ON TOWER FRANCE
1755455;-1.6572222222222222;48.07833333333333;"48°4'42.000""N 1°39'26.000""W";35206;LA BIDOIS;"";35230;NOYAL CHATILLON SUR SEICHE;Pylône autostable;20.0;CELLNEX
1761107;-1.6686111111111113;48.0875;"48°5'15.000""N 1°40'7.000""W";35238;"";"4 AVENUE D'ITALIE";35000;RENNES;Bâtiment;52.2;"Copropriété, Syndic, SCI"
1766482;-1.67;48.11805555555556;"48°7'5.000""N 1°40'12.000""W";35238;"";9 RUE JEAN MACE;35000;RENNES;Bâtiment;28.0;"Etat, Ministère"
1770468;-1.6413888888888888;48.098055555555554;"48°5'53.000""N 1°38'29.000""W";35238;"";39 AVENUE GEORGES HENRI RIVIÈRE;35000;RENNES;Immeuble;32.3;"Copropriété, Syndic, SCI"
1781720;-1.6622222222222223;48.11222222222222;"48°6'44.000""N 1°39'44.000""W";35238;"";1-3 RUE RAOUL PONCHON;35000;RENNES;Bâtiment;25.3;"Copropriété, Syndic, SCI"
1782808;-1.6658333333333335;48.128055555555555;"48°7'41.000""N 1°39'57.000""W";35238;"";181 AV GÉNÉRAL GEORGES PATTON;35000;RENNES;Pylône tubulaire;28.6;TOTEM
1802517;-1.6222222222222222;48.099444444444444;"48°5'58.000""N 1°37'20.000""W";35055;"";20 RUE DU BREIL;35135;CHANTEPIE;Bâtiment;10.0;Société Privée SA
1833720;-1.4825;48.103611111111114;"48°6'13.000""N 1°28'57.000""W";35039;"";ZAC DE LA CROIX ROUGE SOCIETÉ LEPAGE;35530;BRECE;Pylône tubulaire;26.6;HIVORY
